station_id,inspector_id,inspection_date,next_inspection_date,cleanliness_score,temperature_check,status,comments
12,12,2025-04-27,2025-05-17,5.1,24.19,Good,Excellent
8,34,2025-07-26,2025-08-22,4.7,7.23,Passed inspection,
1,15,2025-04-26,2025-05-21,4.7,10.25,Perfect condition,Excellent
2,17,2025-11-02,2025-12-01,4.6,11.07,Passed inspection,Watch fridge temp
4,33,2026-01-01,2026-01-13,3.3,10.48,Passed inspection,Deep clean needed
12,42,2025-10-10,2025-10-27,3.9,16.32,Needs improvement,Watch fridge temp
11,29,2025-09-03,2025-09-17,3.7,11.07,Passed inspection,OK
9,11,2025-03-28,2025-04-05,3.2,11.88,Passed inspection,OK
6,50,2025-02-05,2025-02-17,4.2,16.96,All clean,
1,35,2025-12-05,2025-12-31,5.5,14.78,Passed inspection,Excellent
13,30,2025-08-07,2025-09-04,3.3,12.71,Passed inspection,Excellent
7,19,2025-05-16,2025-05-31,3.0,5.0,Fridge slightly warm,
10,34,2026-01-08,2026-02-01,3.8,17.07,Good,Excellent
5,1,2026-01-12,2026-02-05,4.1,14.1,Passed inspection,Deep clean needed
2,16,2025-09-30,2025-10-14,5.0,21.37,Fridge slightly warm,Deep clean needed
10,39,2025-01-20,2025-02-11,3.2,9.33,Fridge slightly warm,Deep clean needed
3,50,2025-07-05,2025-07-16,5.5,5.23,Needs improvement,Deep clean needed
9,34,2025-09-21,2025-10-04,3.4,21.57,Fridge slightly warm,Deep clean needed
10,7,2025-10-01,2025-10-11,3.7,16.71,Fridge slightly warm,Deep clean needed
11,22,2025-08-01,2025-08-12,5.6,14.13,Passed inspection,
11,23,2025-01-04,2025-02-03,5.1,17.39,Good,Deep clean needed
2,32,2025-02-15,2025-03-12,3.6,8.47,Fridge slightly warm,Watch fridge temp
3,1,2025-05-29,2025-06-26,4.4,11.28,Perfect condition,
3,34,2025-05-21,2025-06-17,5.8,12.39,All clean,Watch fridge temp
3,18,2025-09-28,2025-10-28,5.3,4.13,Perfect condition,Watch fridge temp
6,39,2026-01-08,2026-01-30,3.8,11.93,Passed inspection,Excellent
7,17,2025-03-03,2025-03-18,3.0,7.71,Needs improvement,Deep clean needed
3,46,2025-12-05,2025-12-16,5.4,21.02,All clean,Deep clean needed
2,10,2025-04-20,2025-05-04,3.6,19.11,Fridge slightly warm,OK
4,47,2026-02-01,2026-02-09,5.7,24.62,Passed inspection,Excellent
10,25,2025-06-12,2025-06-29,5.8,6.13,All clean,OK
4,50,2025-10-13,2025-11-05,4.1,6.84,Passed inspection,OK
2,8,2025-12-04,2025-12-30,3.2,17.15,Good,
14,44,2025-05-03,2025-05-18,5.4,7.34,Good,OK
4,38,2025-10-13,2025-10-25,3.7,20.0,Fridge slightly warm,Excellent
4,8,2025-06-21,2025-07-14,5.1,15.09,Good,Excellent
14,31,2025-05-08,2025-06-05,3.5,21.18,All clean,Deep clean needed
7,31,2025-02-04,2025-02-11,5.0,7.77,Fridge slightly warm,Watch fridge temp
4,33,2025-06-24,2025-07-13,5.5,20.36,Good,
2,21,2025-10-08,2025-11-06,5.9,21.65,All clean,
13,1,2025-02-28,2025-03-18,5.0,7.1,Passed inspection,OK
13,2,2026-02-05,2026-02-15,5.8,7.92,Good,Watch fridge temp
2,27,2025-11-18,2025-12-16,3.4,23.95,Good,Deep clean needed
13,32,2026-02-22,2026-03-06,4.8,19.08,Needs improvement,
14,21,2025-04-20,2025-05-13,5.0,22.19,Good,Watch fridge temp
5,45,2025-01-18,2025-02-13,4.6,11.56,Fridge slightly warm,OK
8,46,2026-01-18,2026-02-05,3.2,16.48,Needs improvement,Watch fridge temp
13,28,2026-01-27,2026-02-21,3.5,17.94,Fridge slightly warm,OK
11,21,2025-05-11,2025-06-02,5.7,13.34,Needs improvement,OK
2,19,2025-04-20,2025-05-15,4.7,20.12,Fridge slightly warm,Watch fridge temp
6,8,2025-04-07,2025-04-25,4.3,23.6,Needs improvement,
8,18,2025-01-02,2025-01-25,3.4,11.04,Needs improvement,OK
6,29,2025-06-02,2025-06-24,5.0,5.45,All clean,
1,29,2025-03-18,2025-03-30,4.7,23.5,Needs improvement,Watch fridge temp
10,38,2025-11-01,2025-11-11,4.9,16.36,Good,Watch fridge temp
11,37,2025-11-12,2025-12-12,4.5,23.35,All clean,OK
12,4,2026-02-07,2026-03-02,5.0,18.03,Needs improvement,
1,1,2025-06-19,2025-07-15,5.9,17.19,Fridge slightly warm,Watch fridge temp
9,32,2026-01-09,2026-01-31,5.2,12.4,Good,Excellent
10,10,2025-07-05,2025-07-30,3.1,8.88,Needs improvement,OK
10,9,2025-10-19,2025-11-13,5.6,7.29,Perfect condition,Deep clean needed
5,33,2025-11-18,2025-12-14,4.3,11.46,Passed inspection,
14,41,2025-11-26,2025-12-09,3.4,24.8,All clean,Deep clean needed
11,1,2025-06-07,2025-06-19,5.6,8.24,Passed inspection,
5,32,2025-12-18,2026-01-10,3.4,18.23,Fridge slightly warm,
1,41,2025-09-02,2025-09-21,3.2,11.98,Passed inspection,
6,34,2025-12-10,2026-01-06,3.5,4.02,Needs improvement,
2,3,2025-08-18,2025-09-11,4.9,14.97,Passed inspection,Excellent
5,15,2025-02-23,2025-03-23,5.0,16.88,All clean,Excellent
10,43,2025-09-23,2025-10-15,5.5,19.64,Passed inspection,OK
10,2,2025-07-30,2025-08-26,5.0,16.25,All clean,Watch fridge temp
1,47,2026-02-20,2026-02-27,3.4,8.21,Passed inspection,
10,22,2025-09-30,2025-10-27,3.7,4.97,Good,Excellent
5,45,2025-04-01,2025-04-20,4.6,5.66,Good,Deep clean needed
7,5,2025-01-04,2025-01-26,3.6,6.91,Needs improvement,Watch fridge temp
11,48,2025-03-10,2025-03-28,4.9,5.3,Fridge slightly warm,Excellent
13,46,2025-02-21,2025-03-21,5.6,21.54,Fridge slightly warm,Deep clean needed
10,3,2026-01-22,2026-02-09,4.9,14.0,Good,
11,47,2025-12-10,2026-01-06,5.1,16.95,Good,Deep clean needed
2,6,2025-07-16,2025-08-11,4.1,22.23,Needs improvement,OK
5,8,2026-01-05,2026-01-28,5.3,17.84,Fridge slightly warm,Watch fridge temp
14,22,2025-04-12,2025-05-04,5.9,9.29,Needs improvement,Watch fridge temp
8,44,2025-03-20,2025-03-28,5.4,5.52,All clean,OK
9,17,2025-05-05,2025-05-23,4.1,19.6,Perfect condition,Excellent
5,13,2025-09-29,2025-10-08,3.4,5.72,Good,Watch fridge temp
11,36,2025-06-02,2025-06-24,5.9,13.21,Fridge slightly warm,Excellent
13,40,2026-01-16,2026-02-07,5.2,24.94,Good,
12,30,2025-03-16,2025-04-02,3.8,23.02,All clean,Excellent
4,36,2026-02-08,2026-03-10,4.9,4.74,All clean,OK
7,31,2026-01-23,2026-02-16,3.1,13.85,Fridge slightly warm,Deep clean needed
11,20,2026-02-18,2026-03-05,4.8,16.75,Perfect condition,
14,19,2025-08-05,2025-08-31,3.9,22.04,All clean,OK
5,24,2025-02-22,2025-03-14,4.0,22.28,Passed inspection,OK
4,47,2025-04-26,2025-05-05,3.3,20.34,Needs improvement,Deep clean needed
7,39,2025-05-05,2025-06-02,5.2,18.66,All clean,OK
11,30,2025-04-05,2025-04-21,4.9,9.16,All clean,Excellent
5,35,2025-08-15,2025-09-03,3.6,10.22,Needs improvement,OK
13,22,2025-02-27,2025-03-10,3.9,20.1,Passed inspection,Excellent
13,46,2025-10-06,2025-10-23,3.1,21.73,Fridge slightly warm,OK
10,7,2025-11-23,2025-11-30,3.3,21.15,Needs improvement,Deep clean needed
10,22,2025-12-30,2026-01-18,4.5,7.96,Good,OK
10,24,2025-06-05,2025-06-19,3.6,12.02,Good,OK
8,13,2025-09-20,2025-10-01,5.4,8.52,All clean,Excellent
5,6,2025-05-30,2025-06-17,3.1,8.89,Good,OK
10,23,2025-06-01,2025-06-25,5.2,23.14,Needs improvement,Excellent
4,16,2025-10-16,2025-11-08,4.1,9.31,Needs improvement,OK
8,12,2025-02-02,2025-03-04,4.8,4.88,Good,Excellent
10,5,2026-02-01,2026-02-20,4.7,8.83,Needs improvement,OK
7,24,2025-12-10,2026-01-03,3.5,4.03,All clean,Excellent
3,27,2025-12-17,2025-12-25,3.6,10.88,Fridge slightly warm,Watch fridge temp
5,16,2025-12-28,2026-01-15,3.5,17.01,Passed inspection,OK
3,34,2025-12-05,2025-12-12,3.4,24.23,Fridge slightly warm,OK
4,14,2025-05-13,2025-05-30,3.3,18.85,Fridge slightly warm,Deep clean needed
4,30,2025-10-11,2025-10-26,5.8,19.25,All clean,Watch fridge temp
11,13,2026-02-12,2026-03-06,4.8,5.25,Fridge slightly warm,Excellent
1,6,2025-06-19,2025-07-09,5.5,13.73,Perfect condition,
8,35,2025-07-07,2025-07-24,5.9,24.48,All clean,Excellent
4,43,2025-11-20,2025-12-08,3.3,22.45,Fridge slightly warm,Deep clean needed
5,11,2025-01-08,2025-01-30,5.4,19.85,Needs improvement,OK
4,29,2025-12-28,2026-01-27,4.6,13.52,Good,Watch fridge temp
8,21,2025-07-06,2025-07-14,3.2,22.96,Perfect condition,Watch fridge temp
13,7,2025-11-15,2025-12-08,5.4,8.8,Passed inspection,Watch fridge temp
8,46,2025-10-28,2025-11-04,3.0,11.94,Needs improvement,
2,17,2025-09-17,2025-10-02,5.0,21.4,Fridge slightly warm,
13,30,2025-08-20,2025-08-27,5.6,22.16,All clean,Watch fridge temp
11,1,2025-01-07,2025-01-19,4.4,20.67,All clean,OK
4,34,2025-07-20,2025-08-17,5.4,23.13,Passed inspection,Excellent
12,44,2025-05-19,2025-06-14,3.2,7.26,All clean,Watch fridge temp
5,19,2025-06-12,2025-07-09,5.5,22.24,Passed inspection,Excellent
10,8,2026-02-15,2026-03-02,4.1,15.24,Good,Deep clean needed
2,18,2025-08-06,2025-08-27,3.1,17.19,Needs improvement,Excellent
5,49,2025-07-28,2025-08-12,5.4,14.77,All clean,Watch fridge temp
8,19,2025-02-26,2025-03-05,5.8,7.21,Fridge slightly warm,Watch fridge temp
4,17,2025-07-21,2025-08-16,5.7,20.42,Perfect condition,
9,40,2025-01-27,2025-02-10,4.3,20.66,Good,Watch fridge temp
12,29,2025-06-24,2025-07-15,5.3,15.33,Needs improvement,OK
9,6,2025-10-28,2025-11-07,4.1,21.29,Needs improvement,
3,24,2025-02-01,2025-02-14,5.3,7.16,Passed inspection,
2,28,2025-07-12,2025-07-25,4.8,21.98,Fridge slightly warm,Deep clean needed
14,42,2025-03-08,2025-03-16,5.7,22.8,Needs improvement,
13,41,2025-02-01,2025-02-21,5.4,7.62,Good,Excellent
10,33,2025-12-13,2026-01-12,4.0,20.08,Fridge slightly warm,Deep clean needed
8,50,2025-05-16,2025-05-26,3.5,18.06,Perfect condition,Excellent
8,22,2025-07-12,2025-08-05,3.9,24.9,Passed inspection,OK
3,48,2025-01-14,2025-02-05,4.1,21.74,Perfect condition,OK
4,19,2025-08-29,2025-09-09,5.4,11.75,Passed inspection,Excellent
9,19,2025-04-14,2025-05-10,5.8,14.69,Needs improvement,Deep clean needed
3,3,2025-04-25,2025-05-21,3.3,9.25,Passed inspection,Watch fridge temp
12,37,2025-10-01,2025-10-09,5.5,13.99,Passed inspection,Deep clean needed
6,18,2025-10-19,2025-11-14,5.0,15.61,All clean,Deep clean needed
12,32,2025-09-28,2025-10-24,4.5,9.71,Good,Deep clean needed
8,43,2025-04-30,2025-05-27,5.1,20.97,All clean,Deep clean needed
9,4,2026-02-12,2026-03-12,4.4,13.68,All clean,OK
10,40,2025-01-04,2025-01-19,5.4,10.63,Perfect condition,
6,15,2025-06-05,2025-06-29,3.6,18.55,Perfect condition,OK
8,22,2025-05-30,2025-06-06,3.1,6.7,Fridge slightly warm,Excellent
4,9,2025-04-12,2025-04-27,3.9,4.64,Needs improvement,OK
12,27,2025-06-11,2025-06-21,5.0,17.06,Good,Excellent
1,23,2025-11-05,2025-11-15,3.2,8.86,Perfect condition,
2,41,2025-11-17,2025-12-07,4.3,22.01,Needs improvement,Watch fridge temp
1,50,2025-06-17,2025-07-16,4.9,4.03,Fridge slightly warm,Excellent
2,22,2025-07-06,2025-07-22,3.4,8.08,Perfect condition,Deep clean needed
7,8,2025-03-12,2025-03-30,4.4,22.85,Needs improvement,OK
6,39,2025-05-11,2025-06-02,3.6,5.15,All clean,
2,36,2025-02-19,2025-03-13,3.7,16.89,Perfect condition,
10,33,2025-01-03,2025-01-13,5.1,11.92,Perfect condition,Excellent
14,22,2025-07-02,2025-07-16,4.8,9.5,Fridge slightly warm,Deep clean needed
10,36,2025-05-27,2025-06-09,4.0,19.87,Needs improvement,Deep clean needed
1,2,2025-06-19,2025-07-12,3.3,24.81,Perfect condition,Watch fridge temp
11,18,2025-11-18,2025-12-12,5.8,10.84,All clean,Excellent
2,28,2025-10-01,2025-10-29,4.8,23.21,Passed inspection,Deep clean needed
4,7,2025-03-29,2025-04-28,3.3,4.63,Needs improvement,Watch fridge temp
12,29,2025-02-05,2025-02-12,3.1,15.83,Fridge slightly warm,Excellent
12,39,2025-06-03,2025-06-23,4.9,20.39,Needs improvement,Excellent
6,6,2025-08-15,2025-08-28,4.4,13.64,Passed inspection,Excellent
4,10,2025-11-23,2025-11-30,3.9,23.56,Perfect condition,OK
6,5,2026-01-13,2026-01-29,5.6,8.49,All clean,
2,27,2025-04-06,2025-04-23,4.4,17.55,Fridge slightly warm,Excellent
12,19,2025-07-12,2025-08-02,4.9,8.54,All clean,Watch fridge temp
5,47,2025-04-12,2025-04-25,3.4,5.01,Good,Watch fridge temp
13,32,2025-06-09,2025-06-16,5.1,21.3,Passed inspection,Watch fridge temp
10,48,2025-03-29,2025-04-17,5.6,4.91,Passed inspection,OK
12,23,2026-01-02,2026-01-12,3.6,9.95,Good,Deep clean needed
14,19,2025-09-14,2025-09-21,3.2,17.03,Fridge slightly warm,OK
13,43,2025-01-21,2025-02-10,5.4,7.52,Fridge slightly warm,Excellent
12,42,2025-05-03,2025-05-22,5.6,20.76,Good,OK
14,45,2025-10-29,2025-11-15,5.1,12.63,Perfect condition,
9,9,2025-05-13,2025-05-31,4.8,21.15,Good,
10,29,2025-01-04,2025-01-13,5.1,14.68,Passed inspection,Watch fridge temp
7,8,2025-01-03,2025-01-31,5.4,14.43,Perfect condition,OK
1,32,2025-06-19,2025-07-14,4.9,16.14,All clean,Watch fridge temp
1,33,2025-09-14,2025-10-11,5.4,15.41,Perfect condition,Watch fridge temp
13,12,2025-08-28,2025-09-21,5.9,22.86,All clean,
7,44,2026-02-21,2026-03-02,3.9,12.46,Needs improvement,Excellent
1,2,2025-11-16,2025-12-11,4.5,17.96,Needs improvement,Watch fridge temp
12,10,2025-06-02,2025-07-01,5.8,24.15,Perfect condition,Watch fridge temp
8,7,2026-02-04,2026-02-20,4.1,12.5,All clean,Watch fridge temp
6,9,2025-09-04,2025-09-21,5.0,18.8,Fridge slightly warm,
5,33,2025-04-25,2025-05-23,4.0,13.65,Perfect condition,
9,12,2025-08-09,2025-09-06,4.7,12.51,All clean,Deep clean needed
3,36,2026-02-04,2026-02-22,5.1,18.28,Passed inspection,Watch fridge temp
11,39,2025-05-05,2025-06-01,4.3,23.58,Fridge slightly warm,OK
1,18,2025-04-29,2025-05-22,4.8,8.58,Good,
2,28,2026-01-23,2026-02-12,4.8,24.71,Needs improvement,Excellent
7,37,2025-09-27,2025-10-05,4.5,16.16,Good,Watch fridge temp
12,17,2026-02-16,2026-03-08,3.5,16.19,All clean,OK
14,20,2025-03-30,2025-04-07,3.6,11.29,Good,Watch fridge temp
14,10,2025-07-27,2025-08-07,4.0,17.97,Good,OK
10,29,2025-03-31,2025-04-16,5.5,15.26,Fridge slightly warm,Watch fridge temp
3,19,2025-02-20,2025-03-22,4.1,14.06,Passed inspection,OK
4,26,2025-03-08,2025-03-30,5.0,7.36,Needs improvement,Deep clean needed
11,36,2025-06-30,2025-07-22,4.1,7.86,Passed inspection,Watch fridge temp
5,4,2025-08-18,2025-09-14,4.0,10.13,All clean,Deep clean needed
3,45,2025-12-05,2025-12-27,5.4,19.91,Fridge slightly warm,OK
9,8,2025-02-03,2025-03-01,4.4,23.8,Needs improvement,Watch fridge temp
14,39,2025-12-09,2025-12-27,5.4,11.87,Perfect condition,Excellent
6,34,2025-09-21,2025-10-08,5.2,11.17,Needs improvement,OK
8,4,2026-02-04,2026-03-06,3.9,22.18,Fridge slightly warm,Deep clean needed
6,33,2025-12-13,2026-01-11,4.2,4.2,Good,Deep clean needed
3,10,2025-09-13,2025-09-22,5.1,13.29,Needs improvement,Excellent
8,50,2025-12-08,2026-01-02,3.1,16.09,All clean,Excellent
1,18,2025-04-06,2025-04-29,3.5,18.63,Passed inspection,Deep clean needed
4,7,2026-02-01,2026-02-09,5.6,11.81,Needs improvement,Deep clean needed
10,26,2025-12-16,2026-01-09,3.8,5.23,Perfect condition,Watch fridge temp
7,40,2025-04-06,2025-04-21,3.2,11.69,Good,
5,22,2025-05-20,2025-06-10,5.5,11.92,Good,Excellent
5,35,2025-07-25,2025-08-12,5.7,18.93,All clean,Deep clean needed
10,16,2025-11-11,2025-12-11,5.5,8.63,Fridge slightly warm,Excellent
3,15,2025-08-10,2025-08-22,5.5,23.25,Good,Deep clean needed
13,41,2025-02-08,2025-03-02,5.2,13.21,All clean,OK
1,10,2025-03-20,2025-04-11,4.6,12.97,Needs improvement,Watch fridge temp
7,33,2025-09-03,2025-09-22,4.4,13.18,Passed inspection,Watch fridge temp
3,9,2026-02-15,2026-03-03,4.6,21.48,Good,OK
13,43,2025-07-09,2025-08-05,3.9,6.38,Perfect condition,Watch fridge temp
4,1,2025-05-19,2025-05-30,5.8,16.08,Passed inspection,Deep clean needed
1,42,2025-08-24,2025-09-07,3.1,15.35,Good,OK
10,17,2025-03-10,2025-03-25,5.0,24.4,Fridge slightly warm,
10,20,2025-10-27,2025-11-03,4.6,20.33,Fridge slightly warm,Deep clean needed
2,2,2025-07-03,2025-07-10,5.6,18.76,All clean,Watch fridge temp
10,23,2025-09-14,2025-10-02,3.7,22.24,All clean,
11,22,2025-08-25,2025-09-04,3.6,13.84,All clean,Watch fridge temp
8,23,2025-08-30,2025-09-09,3.2,9.66,Passed inspection,Deep clean needed
13,12,2025-10-25,2025-11-21,5.5,19.0,Good,OK
3,13,2025-12-12,2025-12-23,5.7,21.19,Good,Excellent
2,12,2025-05-26,2025-06-15,5.4,10.01,Fridge slightly warm,Deep clean needed
8,47,2025-03-20,2025-04-19,3.7,24.13,Passed inspection,
4,23,2025-04-16,2025-04-25,3.5,11.67,Good,Excellent
14,4,2025-02-18,2025-03-01,4.6,17.18,Needs improvement,
8,50,2025-07-07,2025-07-19,4.4,10.34,Fridge slightly warm,OK
11,14,2025-11-05,2025-11-29,4.0,18.13,Passed inspection,Excellent
5,22,2025-07-30,2025-08-28,4.6,21.97,Fridge slightly warm,OK
14,45,2025-07-09,2025-08-08,4.7,18.91,Passed inspection,Deep clean needed
10,3,2025-07-13,2025-07-29,3.4,9.02,Passed inspection,Excellent
7,15,2026-01-18,2026-01-29,5.0,7.2,All clean,Watch fridge temp
3,32,2025-04-19,2025-04-30,4.8,18.24,Needs improvement,Excellent
13,36,2025-04-23,2025-05-01,4.3,22.96,Passed inspection,OK
1,8,2025-09-12,2025-09-22,5.6,20.81,Needs improvement,Deep clean needed
11,26,2025-03-09,2025-03-16,5.4,6.94,Passed inspection,OK
13,33,2026-01-16,2026-02-08,3.9,24.56,Fridge slightly warm,
13,21,2025-10-18,2025-11-01,5.1,21.6,Needs improvement,Watch fridge temp
6,25,2025-09-28,2025-10-28,3.9,9.39,Passed inspection,
3,40,2025-02-12,2025-03-12,4.0,8.61,Fridge slightly warm,Excellent
4,36,2025-10-18,2025-11-02,3.8,24.58,All clean,Watch fridge temp
4,46,2026-02-24,2026-03-05,5.7,14.41,All clean,Deep clean needed
10,45,2025-08-09,2025-09-08,3.3,4.78,Perfect condition,
7,50,2025-06-09,2025-07-03,3.6,14.79,Needs improvement,Excellent
4,12,2025-06-23,2025-07-12,3.7,14.24,Passed inspection,OK
3,37,2025-01-25,2025-02-02,5.3,16.74,All clean,
7,46,2026-02-19,2026-03-18,3.2,11.9,Passed inspection,
5,28,2025-12-14,2025-12-27,5.4,24.13,Needs improvement,Excellent
3,29,2026-02-02,2026-02-13,5.1,24.16,Good,
5,37,2025-04-24,2025-05-21,5.1,19.6,Fridge slightly warm,Deep clean needed
6,45,2025-11-11,2025-12-01,5.9,20.43,Needs improvement,Deep clean needed
7,13,2025-03-08,2025-03-29,4.6,19.38,Good,Deep clean needed
13,18,2025-10-20,2025-10-30,3.5,8.57,Needs improvement,Deep clean needed
9,42,2025-05-08,2025-05-22,4.4,5.99,Passed inspection,OK
9,38,2025-11-05,2025-11-27,3.1,20.48,All clean,Watch fridge temp
2,31,2025-06-11,2025-07-02,4.9,6.05,Perfect condition,OK
9,4,2025-12-11,2026-01-10,4.9,20.79,All clean,OK
4,35,2025-03-06,2025-03-25,5.8,7.1,Needs improvement,Excellent
7,19,2025-04-03,2025-04-19,5.3,19.73,Fridge slightly warm,Watch fridge temp
8,45,2025-02-19,2025-03-04,3.7,10.49,Passed inspection,Watch fridge temp
1,42,2025-12-05,2025-12-27,3.9,22.39,Perfect condition,Deep clean needed
3,35,2025-03-11,2025-04-06,5.6,18.01,Needs improvement,Watch fridge temp
7,19,2026-01-10,2026-01-24,4.2,5.33,Needs improvement,Excellent
3,4,2025-08-10,2025-09-01,5.9,18.2,Fridge slightly warm,Watch fridge temp
9,33,2025-02-09,2025-03-07,4.9,23.8,Needs improvement,Deep clean needed
1,13,2025-04-20,2025-05-05,4.4,22.78,All clean,Excellent
4,38,2025-07-21,2025-08-02,3.2,18.54,Good,Watch fridge temp
3,47,2025-10-05,2025-10-20,3.3,19.81,Good,Deep clean needed
2,44,2025-06-29,2025-07-09,4.2,21.35,Needs improvement,
3,21,2026-02-08,2026-03-08,4.2,5.76,Fridge slightly warm,
9,21,2025-04-13,2025-05-04,3.4,8.93,Good,OK
8,10,2025-01-28,2025-02-16,4.3,5.73,Fridge slightly warm,OK
3,20,2025-01-05,2025-01-30,3.7,4.89,Perfect condition,Deep clean needed
12,16,2025-08-21,2025-09-16,5.1,15.08,Perfect condition,
11,35,2026-02-04,2026-03-06,4.6,14.6,All clean,Deep clean needed
4,28,2025-01-13,2025-01-24,4.2,10.66,Passed inspection,Deep clean needed
14,29,2025-03-19,2025-04-08,3.8,4.83,All clean,Excellent
14,16,2025-01-05,2025-01-17,4.0,14.53,Needs improvement,Excellent
4,8,2026-01-01,2026-01-12,5.3,11.83,All clean,Excellent
13,17,2025-01-13,2025-02-12,3.7,7.26,All clean,Excellent
12,36,2025-03-18,2025-03-27,4.5,15.9,Fridge slightly warm,OK
14,44,2026-01-04,2026-01-21,4.5,7.8,Good,Excellent
5,35,2026-01-05,2026-01-23,5.0,20.02,Good,Deep clean needed
13,32,2025-12-20,2026-01-18,4.6,4.82,Passed inspection,Deep clean needed
7,31,2025-02-04,2025-02-13,3.8,14.17,All clean,OK
10,45,2025-08-13,2025-08-20,4.5,21.2,Needs improvement,Excellent
14,11,2025-10-16,2025-11-08,5.2,21.68,Needs improvement,Deep clean needed
1,27,2025-11-29,2025-12-09,3.8,15.97,Good,Watch fridge temp
7,32,2025-01-09,2025-01-24,4.5,6.39,Perfect condition,Excellent
5,48,2025-12-09,2026-01-02,5.7,19.39,Passed inspection,
11,44,2025-09-07,2025-10-05,3.5,10.9,Perfect condition,Watch fridge temp
3,16,2025-02-16,2025-03-17,3.6,4.96,Fridge slightly warm,OK
