station_id,inspector_id,inspection_date,cleanliness_score,status
6,37,6/30/2025,5.7,All clean
7,9,1/31/2026,4.1,Fridge slightly warm
11,23,5/22/2025,3.7,All clean
6,34,4/28/2025,5.8,Fridge slightly warm
1,33,1/14/2026,3.3,All clean
11,52,2/6/2026,4.3,Fridge slightly warm
9,44,5/27/2025,5.8,Passed inspection
8,13,10/5/2025,5.3,Passed inspection
9,2,8/22/2025,3.7,Perfect condition
4,60,7/23/2025,3.6,All clean
3,20,3/13/2026,4.9,Fridge slightly warm
2,7,11/14/2025,4.1,Perfect condition
0,40,8/24/2025,5.0,Good
13,30,1/24/2026,5.7,Needs improvement
3,21,4/16/2025,4.6,Perfect condition
14,53,1/16/2026,4.6,Good
9,2,12/5/2025,5.9,All clean
12,52,4/22/2025,4.0,All clean
2,52,5/22/2025,5.8,Needs improvement
12,56,12/20/2025,5.6,All clean
6,38,1/27/2026,5.8,Fridge slightly warm
8,32,6/20/2025,4.4,Needs improvement
9,9,11/23/2025,4.9,Good
15,28,3/9/2026,3.1,All clean
2,45,1/23/2026,4.8,Perfect condition
13,17,1/16/2026,4.6,Perfect condition
3,12,12/30/2025,4.5,Needs improvement
15,59,6/25/2025,4.2,Perfect condition
8,24,11/2/2025,4.8,Passed inspection
1,29,11/11/2025,3.6,Fridge slightly warm
10,14,12/23/2025,3.8,Needs improvement
11,33,9/21/2025,4.6,Needs improvement
3,19,12/31/2025,3.1,Good
9,48,11/22/2025,5.1,Perfect condition
11,2,11/7/2025,4.1,Passed inspection
13,39,4/3/2025,4.9,Fridge slightly warm
13,1,6/22/2025,5.2,Needs improvement
5,8,3/8/2026,5.9,Passed inspection
7,4,9/7/2025,5.4,Fridge slightly warm
12,13,7/8/2025,5.3,Good
11,59,3/31/2025,5.1,Passed inspection
8,9,10/5/2025,5.2,Needs improvement
5,16,2/7/2026,5.2,Passed inspection
13,10,2/19/2026,5.3,Needs improvement
10,33,2/28/2026,5.1,All clean
0,47,11/28/2025,3.4,Needs improvement
8,48,2/22/2026,3.7,Needs improvement
9,9,10/12/2025,3.2,Passed inspection
13,12,8/8/2025,3.8,Passed inspection
8,25,5/11/2025,3.1,Perfect condition
7,45,8/20/2025,5.4,All clean
14,20,3/31/2025,4.8,Good
0,26,4/17/2025,4.3,Fridge slightly warm
9,43,11/15/2025,4.5,All clean
3,44,10/10/2025,3.7,Perfect condition
3,1,3/18/2025,4.6,All clean
6,18,7/14/2025,3.2,Perfect condition
7,37,11/25/2025,3.6,Perfect condition
4,20,6/20/2025,3.2,Passed inspection
13,38,2/4/2026,3.7,All clean
10,26,1/14/2026,4.4,Fridge slightly warm
7,24,4/16/2025,5.2,Perfect condition
2,25,3/13/2026,4.9,Passed inspection
10,48,1/23/2026,4.5,Good
2,17,4/30/2025,4.2,Perfect condition
9,4,9/29/2025,3.7,All clean
3,51,2/5/2026,5.3,Perfect condition
4,27,10/12/2025,4.0,Needs improvement
2,2,12/22/2025,5.9,All clean
13,50,10/12/2025,5.8,Passed inspection
10,59,10/7/2025,4.7,Good
9,47,10/21/2025,3.2,All clean
11,27,2/20/2026,5.4,All clean
1,36,11/18/2025,4.3,Needs improvement
0,11,2/20/2026,4.0,Perfect condition
7,41,2/13/2026,5.3,Fridge slightly warm
6,15,6/13/2025,3.3,Perfect condition
6,26,4/3/2025,3.5,Passed inspection
14,28,10/11/2025,3.1,Fridge slightly warm
3,18,12/25/2025,4.2,Fridge slightly warm
10,34,1/14/2026,5.3,Needs improvement
5,14,6/24/2025,5.2,Needs improvement
10,21,2/4/2026,3.6,Fridge slightly warm
1,14,5/15/2025,4.7,Needs improvement
8,19,1/22/2026,4.5,Good
13,9,1/2/2026,3.2,All clean
4,35,1/27/2026,4.7,Needs improvement
8,28,11/9/2025,4.1,Passed inspection
12,36,11/19/2025,4.8,Fridge slightly warm
12,29,11/18/2025,5.5,Good
4,2,1/18/2026,4.6,Perfect condition
11,18,3/5/2026,5.0,Fridge slightly warm
2,20,6/3/2025,3.9,Good
13,51,12/14/2025,3.8,Perfect condition
9,36,5/16/2025,5.0,Passed inspection
5,49,5/20/2025,4.0,All clean
7,25,4/14/2025,4.8,Passed inspection
6,31,5/14/2025,3.5,Needs improvement
8,10,5/7/2025,5.7,Fridge slightly warm
1,45,4/23/2025,5.0,Perfect condition
1,11,6/12/2025,5.0,All clean
6,40,10/2/2025,3.6,Good
15,2,9/5/2025,4.3,Fridge slightly warm
13,35,3/20/2025,3.6,All clean
6,24,9/23/2025,4.6,Fridge slightly warm
9,14,12/3/2025,5.7,Perfect condition
0,53,11/3/2025,3.4,Fridge slightly warm
5,25,2/6/2026,4.4,Perfect condition
2,12,1/17/2026,4.7,Perfect condition
8,29,2/28/2026,5.5,Fridge slightly warm
7,34,1/26/2026,3.1,Fridge slightly warm
5,24,4/26/2025,5.9,All clean
15,39,7/16/2025,5.9,All clean
0,40,1/12/2026,3.4,Perfect condition
1,7,4/23/2025,4.5,Needs improvement
12,7,11/3/2025,5.1,All clean
4,26,9/21/2025,4.9,Good
2,18,11/6/2025,3.5,Passed inspection
9,19,1/24/2026,3.2,Needs improvement
1,25,4/4/2025,3.5,Needs improvement
6,20,10/18/2025,3.0,Perfect condition
8,37,12/20/2025,5.3,Fridge slightly warm
3,42,11/14/2025,5.3,Needs improvement
5,52,3/20/2025,4.5,Passed inspection
3,37,5/11/2025,3.4,All clean
8,43,11/26/2025,5.0,Passed inspection
3,52,4/4/2025,3.1,All clean
13,54,7/5/2025,4.8,Passed inspection
4,22,2/5/2026,3.5,Fridge slightly warm
10,49,7/26/2025,4.3,Fridge slightly warm
3,29,3/25/2025,4.4,Perfect condition
8,13,5/12/2025,3.0,Passed inspection
7,9,8/27/2025,5.3,Needs improvement
6,31,6/18/2025,5.1,Fridge slightly warm
3,39,12/4/2025,3.4,Perfect condition
3,31,3/3/2026,3.2,Needs improvement
1,19,10/27/2025,3.4,Passed inspection
13,22,4/16/2025,5.5,Needs improvement
9,21,3/29/2025,5.8,Passed inspection
6,50,1/17/2026,3.6,Needs improvement
8,34,12/26/2025,4.5,Fridge slightly warm
10,39,12/17/2025,3.1,Needs improvement
12,60,11/20/2025,5.6,Passed inspection
9,47,2/25/2026,5.1,Perfect condition
14,58,7/7/2025,4.1,Needs improvement
6,6,1/24/2026,5.6,Passed inspection
10,54,4/8/2025,4.7,Passed inspection
1,42,10/4/2025,5.7,Good
15,15,8/1/2025,5.0,Good
3,10,1/10/2026,5.8,Fridge slightly warm
5,52,8/5/2025,3.5,Perfect condition
5,21,5/13/2025,5.3,Needs improvement
5,11,6/24/2025,4.9,Good
5,51,12/1/2025,3.8,Passed inspection
6,28,4/8/2025,4.2,Needs improvement
10,25,8/10/2025,3.8,Needs improvement
8,25,1/21/2026,4.9,Fridge slightly warm
9,12,5/11/2025,5.1,All clean
4,1,1/20/2026,3.9,Perfect condition
7,3,1/25/2026,3.2,Fridge slightly warm
15,17,7/5/2025,3.9,Good
10,46,9/4/2025,3.4,Perfect condition
5,57,12/5/2025,5.9,Passed inspection
5,30,7/17/2025,5.7,Passed inspection
1,27,9/23/2025,5.5,Needs improvement
15,49,11/26/2025,5.4,Fridge slightly warm
13,16,7/10/2025,3.8,Fridge slightly warm
6,8,8/8/2025,3.1,Good
8,55,9/10/2025,4.0,Fridge slightly warm
9,51,9/9/2025,5.2,All clean
4,42,11/24/2025,4.7,Good
13,20,5/6/2025,5.1,Perfect condition
12,29,6/14/2025,3.5,Perfect condition
7,23,4/13/2025,5.9,Passed inspection
8,19,12/23/2025,5.6,Good
10,10,9/22/2025,4.7,Fridge slightly warm
9,53,5/5/2025,3.5,Needs improvement
2,46,3/26/2025,5.2,Good
12,11,12/25/2025,3.9,Fridge slightly warm
1,5,12/26/2025,5.1,Perfect condition
15,6,7/21/2025,5.4,Good
6,24,5/4/2025,3.6,Fridge slightly warm
10,49,7/19/2025,3.4,Fridge slightly warm
13,58,7/14/2025,4.8,Passed inspection
9,34,8/28/2025,5.5,Passed inspection
11,36,11/10/2025,3.6,Fridge slightly warm
13,32,6/22/2025,4.3,Fridge slightly warm
2,26,8/30/2025,4.2,All clean
6,53,10/19/2025,4.8,Needs improvement
11,48,12/10/2025,5.1,Perfect condition
9,3,6/12/2025,4.4,All clean
0,48,2/18/2026,3.5,Passed inspection
7,23,12/5/2025,5.8,Good
6,32,7/21/2025,4.4,Fridge slightly warm
9,3,4/3/2025,4.8,All clean
7,6,11/11/2025,5.0,All clean
11,53,1/17/2026,5.0,All clean
4,22,12/9/2025,4.4,Good
2,44,1/30/2026,5.5,Needs improvement
10,24,8/14/2025,4.7,Good
9,48,12/23/2025,4.1,All clean
7,16,9/7/2025,5.4,Needs improvement
7,32,9/27/2025,3.1,All clean
11,6,10/18/2025,5.0,Perfect condition
2,37,9/12/2025,4.9,Good
8,17,3/11/2026,5.3,All clean
2,12,12/31/2025,5.0,Passed inspection
11,21,10/29/2025,5.4,Needs improvement
15,59,5/6/2025,5.3,Fridge slightly warm
3,10,5/20/2025,3.6,Perfect condition
0,27,7/6/2025,4.9,Good
0,33,11/13/2025,6.0,Good
10,16,4/1/2025,4.0,Passed inspection
8,40,6/10/2025,3.6,Good
6,51,6/4/2025,3.6,Needs improvement
12,15,2/24/2026,5.1,All clean
10,7,3/31/2025,5.8,Passed inspection
0,29,5/22/2025,4.5,Passed inspection
6,16,7/2/2025,5.9,Fridge slightly warm
0,7,3/30/2025,3.0,Perfect condition
1,30,8/10/2025,5.4,Fridge slightly warm
10,1,7/9/2025,4.1,Fridge slightly warm
5,36,12/21/2025,3.1,Perfect condition
10,51,1/26/2026,4.7,Good
10,6,4/23/2025,5.2,Perfect condition
10,40,12/20/2025,5.3,Fridge slightly warm
12,47,6/30/2025,3.2,Needs improvement
10,3,7/25/2025,5.1,Good
3,1,10/12/2025,5.2,Fridge slightly warm
12,51,5/7/2025,4.2,All clean
13,56,7/14/2025,3.1,Perfect condition
15,16,6/26/2025,5.4,Needs improvement
4,3,5/20/2025,5.8,Good
2,54,3/1/2026,5.3,Fridge slightly warm
14,54,8/31/2025,4.0,Perfect condition
10,14,5/29/2025,5.5,Fridge slightly warm
1,20,12/8/2025,3.9,Fridge slightly warm
14,18,6/1/2025,5.7,Good
11,45,7/1/2025,4.2,Needs improvement
4,34,11/13/2025,5.1,Passed inspection
0,33,3/17/2026,5.4,All clean
8,53,8/14/2025,3.5,Good
8,3,10/20/2025,4.3,Fridge slightly warm
4,16,1/29/2026,4.8,Perfect condition
10,5,9/20/2025,3.5,All clean
10,9,6/30/2025,5.3,Good
6,38,9/27/2025,3.9,Needs improvement
15,38,5/1/2025,5.1,Good
4,58,9/15/2025,3.5,Fridge slightly warm
6,22,2/21/2026,4.5,Needs improvement
14,15,6/22/2025,3.0,Passed inspection
1,33,8/2/2025,3.5,All clean
2,25,10/31/2025,4.1,All clean
3,43,9/3/2025,4.8,Good
12,9,12/17/2025,4.8,Good
8,60,11/5/2025,3.9,Good
7,13,1/17/2026,4.3,All clean
11,33,4/21/2025,4.5,All clean
3,4,9/13/2025,4.8,Passed inspection
9,13,6/27/2025,4.1,Needs improvement
9,15,9/16/2025,5.6,Fridge slightly warm
1,27,11/11/2025,4.3,Passed inspection
4,49,10/20/2025,3.0,Good
12,10,8/24/2025,3.1,Perfect condition
1,15,2/7/2026,3.6,Good
10,46,6/3/2025,3.6,Passed inspection
4,1,9/16/2025,4.9,Needs improvement
10,8,12/29/2025,5.6,Good
5,50,12/11/2025,4.3,All clean
1,39,2/2/2026,4.9,Passed inspection
0,45,6/3/2025,5.7,Perfect condition
13,20,1/5/2026,5.1,All clean
11,46,8/31/2025,5.2,Needs improvement
14,45,12/3/2025,5.1,Fridge slightly warm
3,26,7/2/2025,3.6,All clean
8,49,12/14/2025,3.0,Fridge slightly warm
8,21,8/1/2025,4.4,Passed inspection
4,19,12/22/2025,3.6,Good
14,56,12/19/2025,3.8,All clean
3,42,11/18/2025,5.6,Perfect condition
13,4,7/1/2025,5.8,All clean
15,35,3/21/2025,3.3,All clean
1,29,12/11/2025,3.9,Needs improvement
3,51,4/14/2025,5.1,All clean
10,30,8/25/2025,4.6,All clean
1,36,9/19/2025,5.7,Needs improvement
15,46,11/23/2025,4.9,Fridge slightly warm
13,14,10/20/2025,3.2,Good
8,11,8/4/2025,5.1,Passed inspection
6,46,10/16/2025,3.6,All clean
11,39,12/1/2025,5.0,Good
8,52,3/9/2026,3.3,Fridge slightly warm
5,53,9/27/2025,3.1,Fridge slightly warm
9,22,1/4/2026,5.7,Good
11,59,12/26/2025,3.5,Passed inspection
0,56,11/23/2025,3.0,Good
2,52,6/9/2025,3.7,Perfect condition
4,52,4/28/2025,5.8,Good
8,3,6/18/2025,4.7,Passed inspection
9,7,10/22/2025,3.2,All clean
7,18,4/16/2025,5.7,Perfect condition
2,26,11/30/2025,3.7,Good
3,40,1/12/2026,5.8,Perfect condition
2,37,6/13/2025,5.5,Perfect condition
13,1,12/22/2025,3.4,Needs improvement
13,1,4/3/2025,3.6,All clean
13,12,7/11/2025,4.2,Good
13,50,1/4/2026,5.5,All clean
10,56,1/9/2026,3.6,Good
4,41,11/3/2025,4.3,Good
7,2,10/22/2025,5.2,Good
2,12,4/16/2025,3.1,Fridge slightly warm
15,15,4/2/2025,3.4,Needs improvement
11,7,5/20/2025,3.6,Good
12,59,2/2/2026,6.0,All clean
13,39,10/23/2025,5.2,Fridge slightly warm
5,35,1/17/2026,4.6,Good
6,1,2/9/2026,3.1,Perfect condition
5,47,1/1/2026,5.5,Needs improvement
7,34,1/28/2026,5.3,Passed inspection
6,15,11/13/2025,3.2,Needs improvement
5,24,6/22/2025,5.4,Perfect condition
3,60,11/25/2025,5.4,Good
12,33,1/1/2026,4.7,Good
9,22,5/28/2025,3.4,All clean
2,58,8/13/2025,5.6,Passed inspection
4,17,9/25/2025,5.0,Needs improvement
11,14,11/13/2025,3.3,Needs improvement
3,41,6/14/2025,3.6,Good
3,2,5/2/2025,3.2,Passed inspection
2,2,5/23/2025,4.8,Passed inspection
11,18,1/19/2026,3.9,Fridge slightly warm
14,15,12/26/2025,3.9,All clean
1,3,9/30/2025,4.2,Good
4,20,1/20/2026,3.1,Perfect condition
13,6,11/9/2025,4.3,Good
13,31,6/12/2025,5.5,Fridge slightly warm
8,10,4/16/2025,3.4,Needs improvement
0,8,7/6/2025,4.7,All clean
6,57,1/14/2026,5.8,Passed inspection
1,39,6/9/2025,3.6,Fridge slightly warm
7,41,6/25/2025,6.0,Passed inspection
12,34,5/2/2025,5.3,All clean
1,50,9/2/2025,3.3,Good
3,47,2/15/2026,4.1,Perfect condition
13,54,10/14/2025,3.8,Perfect condition
11,4,3/23/2025,4.1,Needs improvement
6,8,3/26/2025,5.2,Passed inspection
6,2,4/23/2025,4.6,Fridge slightly warm
12,33,10/16/2025,5.1,Passed inspection
13,5,2/4/2026,4.3,Good
15,3,4/5/2025,5.5,Perfect condition
15,49,9/29/2025,3.2,Passed inspection
14,18,7/18/2025,5.4,Passed inspection
8,17,4/12/2025,5.4,Needs improvement
10,45,3/25/2025,5.9,Passed inspection
0,16,10/8/2025,4.4,Good
13,43,5/27/2025,5.7,Fridge slightly warm
3,20,9/27/2025,3.5,Perfect condition
10,36,7/31/2025,5.3,Fridge slightly warm
6,7,7/17/2025,4.5,All clean
7,22,3/6/2026,5.7,Good
15,53,6/29/2025,3.2,Fridge slightly warm
12,25,5/18/2025,3.3,Perfect condition
1,10,3/1/2026,4.6,All clean
2,6,5/31/2025,4.7,Perfect condition
8,5,5/29/2025,3.7,Needs improvement
4,44,5/16/2025,5.4,Good
11,24,2/4/2026,3.5,Needs improvement
9,9,10/24/2025,4.2,All clean
7,41,8/5/2025,4.9,All clean
4,52,1/8/2026,5.7,Passed inspection
10,47,1/27/2026,3.4,Good
8,2,3/11/2026,4.3,Passed inspection
10,16,5/27/2025,4.3,Fridge slightly warm
15,16,12/16/2025,4.1,Passed inspection
1,43,1/5/2026,4.1,Needs improvement
4,24,11/12/2025,4.4,Passed inspection
15,24,5/22/2025,5.3,Perfect condition
2,57,1/22/2026,3.9,Passed inspection
3,6,10/27/2025,4.4,Perfect condition
0,27,3/8/2026,4.1,Passed inspection
12,14,4/5/2025,3.7,Good
11,32,9/20/2025,4.2,Needs improvement
9,21,1/4/2026,5.4,Fridge slightly warm
2,24,9/3/2025,4.0,Fridge slightly warm
12,12,12/24/2025,4.2,All clean
7,35,7/18/2025,3.7,Needs improvement
8,39,6/8/2025,4.9,Passed inspection
4,23,6/21/2025,4.0,All clean
5,31,10/15/2025,4.7,Fridge slightly warm
5,51,5/23/2025,4.2,All clean
13,32,9/12/2025,3.4,Needs improvement
5,6,10/18/2025,4.4,Needs improvement
6,17,10/21/2025,3.2,Needs improvement
8,24,7/30/2025,3.5,Needs improvement
2,33,1/23/2026,5.2,Good
10,14,7/20/2025,3.5,Needs improvement
1,4,7/6/2025,6.0,All clean
4,9,12/11/2025,4.3,Good
14,18,5/19/2025,4.3,Fridge slightly warm
12,11,9/24/2025,5.8,All clean
6,34,1/2/2026,4.8,All clean
3,56,11/11/2025,3.9,Needs improvement
2,13,4/30/2025,5.6,Perfect condition
1,41,6/21/2025,4.2,Needs improvement
11,6,12/24/2025,3.6,Needs improvement
12,45,12/19/2025,4.9,Needs improvement
12,52,4/30/2025,3.7,Good
3,36,1/20/2026,5.9,All clean
7,18,9/26/2025,3.4,Good
5,52,8/1/2025,4.1,Perfect condition
9,12,7/1/2025,3.1,Passed inspection
7,11,9/29/2025,4.1,All clean
2,9,4/16/2025,3.7,Passed inspection
0,22,7/24/2025,5.5,Perfect condition
6,5,2/13/2026,4.9,All clean
0,17,11/7/2025,4.8,Perfect condition
12,54,5/8/2025,5.0,Needs improvement
6,40,7/22/2025,3.5,Perfect condition
4,3,1/3/2026,6.0,Good
3,60,8/20/2025,5.7,Good
4,13,7/6/2025,5.9,All clean
7,27,11/16/2025,5.6,Perfect condition
9,7,12/10/2025,5.2,Passed inspection
12,59,6/2/2025,3.7,Fridge slightly warm
10,53,5/28/2025,4.9,Passed inspection
8,9,9/24/2025,4.1,All clean
4,10,7/7/2025,5.5,Fridge slightly warm
9,26,9/25/2025,5.5,Fridge slightly warm
15,28,2/4/2026,6.0,Fridge slightly warm
2,54,10/6/2025,3.5,Passed inspection
13,58,5/30/2025,3.4,Passed inspection
9,11,7/6/2025,5.3,Fridge slightly warm
8,16,10/16/2025,3.5,Needs improvement
7,10,1/24/2026,4.7,Good
9,22,2/17/2026,4.2,Passed inspection
4,49,6/8/2025,3.8,Fridge slightly warm
9,8,3/5/2026,5.9,All clean
4,7,3/7/2026,4.7,All clean
14,42,1/26/2026,3.6,All clean
1,25,9/24/2025,3.5,Good
13,26,4/10/2025,3.4,Good
6,6,2/28/2026,4.5,Needs improvement
1,18,12/25/2025,4.4,Perfect condition
15,40,7/20/2025,3.1,Passed inspection
3,6,10/19/2025,4.7,Passed inspection
14,17,3/10/2026,3.3,Fridge slightly warm
11,52,8/8/2025,4.7,Needs improvement
2,49,4/9/2025,4.9,Good
1,20,3/21/2025,5.0,Passed inspection
7,23,6/24/2025,5.2,Good
12,57,7/8/2025,4.7,Needs improvement
5,3,8/23/2025,3.1,Needs improvement
10,9,1/22/2026,5.8,Fridge slightly warm
7,22,9/25/2025,5.6,Perfect condition
6,51,5/14/2025,4.4,Fridge slightly warm
6,37,12/30/2025,5.8,Good
9,58,3/23/2025,5.3,Good
13,18,8/12/2025,3.7,Passed inspection
1,51,5/3/2025,4.1,All clean
1,53,4/16/2025,5.3,Passed inspection
10,13,5/3/2025,3.2,All clean
0,25,7/28/2025,5.4,Fridge slightly warm
0,55,12/25/2025,5.0,All clean
12,18,9/5/2025,4.8,Good
7,2,11/27/2025,3.8,All clean
11,25,7/19/2025,5.4,Needs improvement
5,58,2/18/2026,3.2,Perfect condition
13,47,3/19/2025,4.3,Good
0,22,4/9/2025,4.0,Passed inspection
0,37,11/25/2025,4.7,Good
4,17,5/17/2025,4.2,All clean
7,2,10/9/2025,4.3,Perfect condition
1,60,1/12/2026,5.8,Perfect condition
6,36,6/20/2025,3.4,Fridge slightly warm
6,40,10/20/2025,4.7,Fridge slightly warm
5,44,10/31/2025,5.9,Good
15,34,9/24/2025,4.0,Good
15,22,7/10/2025,5.7,Perfect condition
0,13,5/28/2025,5.5,All clean
14,3,5/27/2025,4.8,Perfect condition
1,36,3/22/2025,4.4,Perfect condition
13,57,9/20/2025,5.9,All clean
8,44,4/29/2025,4.7,Perfect condition
14,41,9/28/2025,5.5,Good
3,51,5/11/2025,3.2,Passed inspection
2,25,7/20/2025,4.7,Perfect condition
8,31,12/22/2025,3.6,All clean
9,37,3/1/2026,5.5,All clean
7,6,5/18/2025,5.9,Needs improvement
6,51,12/25/2025,3.7,Good
15,11,4/5/2025,3.0,All clean
0,53,4/4/2025,5.2,Needs improvement
1,60,7/16/2025,4.0,All clean
13,14,10/6/2025,5.0,Passed inspection
14,6,2/20/2026,5.1,Fridge slightly warm
1,11,9/30/2025,3.3,Fridge slightly warm
11,51,4/21/2025,3.7,Passed inspection
13,31,4/18/2025,4.8,Good
7,31,5/2/2025,4.8,Fridge slightly warm
3,37,11/1/2025,4.0,Good
2,19,2/28/2026,5.7,Needs improvement
7,31,3/31/2025,5.6,All clean
2,54,7/7/2025,4.1,Fridge slightly warm
9,3,3/25/2025,5.4,Fridge slightly warm
9,32,1/10/2026,3.5,All clean
6,59,10/30/2025,4.6,Passed inspection
14,44,4/17/2025,3.5,Needs improvement
4,44,4/14/2025,3.4,Fridge slightly warm
4,50,5/13/2025,5.0,Fridge slightly warm
10,5,7/13/2025,4.7,Fridge slightly warm
5,23,11/3/2025,3.4,All clean
14,44,7/31/2025,3.8,Fridge slightly warm
2,14,8/15/2025,4.9,Fridge slightly warm
1,9,10/21/2025,3.1,Needs improvement
1,14,11/27/2025,4.0,Needs improvement
5,26,2/27/2026,5.5,Passed inspection
0,60,4/27/2025,4.1,Good
3,54,6/28/2025,3.4,Good
1,19,12/29/2025,3.5,Needs improvement
12,29,3/6/2026,5.7,All clean
4,53,5/2/2025,5.9,Good
14,18,1/8/2026,3.8,All clean
3,9,7/28/2025,3.1,Fridge slightly warm
6,57,8/29/2025,4.0,Needs improvement
5,12,12/16/2025,5.5,Good
8,7,6/4/2025,4.4,Passed inspection
8,28,6/10/2025,4.3,Perfect condition
7,21,4/12/2025,5.3,Perfect condition
2,24,12/22/2025,5.5,All clean
15,1,3/7/2026,5.7,Fridge slightly warm
7,17,4/24/2025,4.2,Perfect condition
7,17,11/18/2025,5.1,Passed inspection
9,14,4/12/2025,5.0,All clean
5,54,12/6/2025,4.0,Fridge slightly warm
10,6,5/6/2025,5.5,All clean
9,50,5/7/2025,5.9,Fridge slightly warm
